公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
688089,2020-07-14,57.80,58.70,54.60,56.80,-1.41,-2.42,"27,455","15,571",7.04,10.26
688089,2020-07-13,53.94,58.25,53.02,58.21,4.66,8.70,"34,376","19,074",9.77,12.85
688089,2020-07-10,51.60,55.55,51.21,53.55,1.67,3.22,"31,397","16,736",8.37,11.73
688089,2020-07-09,50.99,52.94,50.53,51.88,0.89,1.75,"23,115","11,960",4.73,8.64
688089,2020-07-08,51.80,52.37,50.80,51.49,0.04,0.08,"18,429","9,500",3.05,6.89
688089,2020-07-07,50.60,52.29,49.71,51.45,0.97,1.92,"22,949","11,756",5.11,8.58
688089,2020-07-06,49.38,50.53,48.50,50.48,1.14,2.31,"24,905","12,338",4.11,9.31
688089,2020-07-03,50.52,50.80,48.70,49.34,-1.64,-3.22,"23,035","11,355",4.12,8.61
688089,2020-07-02,50.43,52.68,50.20,50.98,0.46,0.91,"23,688","12,192",4.91,8.85
688089,2020-07-01,52.02,52.85,49.28,50.52,-1.37,-2.64,"26,838","13,660",6.88,10.03
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
688089,2020-06-30,51.15,52.31,50.24,51.89,0.74,1.45,"22,085","11,369",4.05,8.25
688089,2020-06-29,48.80,51.18,48.53,51.15,2.17,4.43,"22,166","11,088",5.41,8.28
688089,2020-06-24,49.05,49.97,48.35,48.98,-0.37,-0.75,"16,221","7,959",3.28,6.06
688089,2020-06-23,47.81,49.64,47.46,49.35,1.28,2.66,"20,451","9,932",4.54,7.64
688089,2020-06-22,47.26,48.58,47.10,48.07,0.84,1.78,"17,140","8,173",3.13,6.41
688089,2020-06-19,47.01,47.85,46.60,47.23,0.21,0.45,"21,935","10,368",2.66,8.20
688089,2020-06-18,50.02,51.21,46.70,47.02,-3.33,-6.61,"39,352","18,874",8.96,15.38
688089,2020-06-17,48.50,51.70,48.50,50.35,1.15,2.34,"31,013","15,497",6.50,12.12
688089,2020-06-16,47.97,51.00,47.96,49.20,1.22,2.54,"35,216","17,461",6.34,13.77
688089,2020-06-15,47.79,49.51,47.33,47.98,0.17,0.36,"24,980","12,052",4.56,9.76
688089,2020-06-12,44.17,48.48,44.04,47.81,2.96,6.60,"28,075","12,950",9.90,10.97
688089,2020-06-11,45.75,46.41,44.12,44.85,-1.08,-2.35,"22,114","10,028",4.99,8.64
688089,2020-06-10,46.00,46.94,45.83,45.93,0.03,0.07,"17,631","8,175",2.42,6.89
688089,2020-06-09,46.21,46.75,45.60,45.90,-0.56,-1.21,"20,963","9,653",2.48,8.19
688089,2020-06-08,48.62,49.00,46.30,46.46,-2.29,-4.70,"32,142","15,272",5.54,12.56
688089,2020-06-05,47.47,49.74,46.88,48.75,2.01,4.30,"35,701","17,290",6.12,13.96
688089,2020-06-04,46.73,48.41,45.45,46.74,0.22,0.47,"26,715","12,456",6.36,10.44
688089,2020-06-03,46.30,46.82,45.22,46.52,0.40,0.87,"19,227","8,851",3.47,7.52
688089,2020-06-02,45.90,46.89,45.50,46.12,0.08,0.17,"23,796","10,969",3.02,9.30
688089,2020-06-01,43.72,47.50,43.72,46.04,2.33,5.33,"37,690","17,290",8.65,14.73
688089,2020-05-29,40.93,44.99,40.61,43.71,2.62,6.38,"36,955","15,924",10.66,14.45
688089,2020-05-28,41.67,42.50,39.91,41.09,-0.59,-1.42,"21,658","8,922",6.21,8.47
688089,2020-05-27,41.18,42.51,40.90,41.68,0.66,1.61,"25,389","10,590",3.92,9.92
688089,2020-05-26,39.51,41.40,39.48,41.02,1.49,3.77,"20,709","8,404",4.86,8.10
688089,2020-05-25,38.64,39.72,38.64,39.53,0.91,2.36,"13,254","5,200",2.80,5.18
688089,2020-05-22,39.76,40.63,38.50,38.62,-1.31,-3.28,"20,354","8,001",5.33,7.96
688089,2020-05-21,41.68,42.88,39.80,39.93,-1.42,-3.43,"26,967","11,104",7.45,10.54
688089,2020-05-20,41.88,43.60,40.96,41.35,-1.08,-2.55,"26,370","11,153",6.22,10.31
688089,2020-05-19,41.68,42.64,40.56,42.43,1.20,2.91,"24,114","10,023",5.04,9.43
688089,2020-05-18,40.92,42.42,40.49,41.23,0.30,0.73,"24,552","10,210",4.72,9.60
688089,2020-05-15,41.62,41.68,40.75,40.93,-0.52,-1.25,"21,047","8,659",2.24,8.23
688089,2020-05-14,42.28,43.57,41.00,41.45,-1.27,-2.97,"36,946","15,549",6.02,14.44
688089,2020-05-13,39.84,43.69,39.84,42.72,2.72,6.80,"40,253","16,871",9.63,15.74
688089,2020-05-12,39.75,41.68,39.72,40.00,0.09,0.23,"33,372","13,593",4.91,13.05
688089,2020-05-11,38.49,40.82,38.49,39.91,1.48,3.85,"33,082","13,188",6.06,12.93
688089,2020-05-08,38.61,39.18,38.33,38.43,-0.09,-0.23,"17,038","6,592",2.21,6.66
688089,2020-05-07,38.66,39.66,38.11,38.52,-0.08,-0.21,"21,618","8,387",4.02,8.45
688089,2020-05-06,36.65,38.94,36.40,38.60,1.60,4.32,"25,306","9,647",6.86,9.89
688089,2020-04-30,35.98,37.38,35.68,37.00,2.44,7.06,"19,470","7,098",4.92,7.61
688089,2020-04-29,34.62,35.68,34.25,34.56,-0.28,-0.80,"10,825","3,785",4.10,4.23
688089,2020-04-28,36.60,36.90,31.66,34.84,-1.79,-4.89,"22,059","7,684",14.31,8.62
688089,2020-04-27,37.78,37.80,36.60,36.63,-1.13,-2.99,"16,651","6,166",3.18,6.51
688089,2020-04-24,38.40,39.40,37.51,37.76,-0.87,-2.25,"22,626","8,708",4.89,8.84
688089,2020-04-23,38.04,39.51,37.71,38.63,0.70,1.85,"26,335","10,175",4.75,10.29
688089,2020-04-22,36.66,38.39,36.62,37.93,1.00,2.71,"16,834","6,361",4.79,6.58
688089,2020-04-21,37.53,37.66,36.71,36.93,-0.59,-1.57,"11,418","4,226",2.53,4.46
688089,2020-04-20,35.88,37.77,35.83,37.52,1.69,4.72,"18,196","6,761",5.41,7.11
688089,2020-04-17,36.11,36.34,35.62,35.83,-0.09,-0.25,"12,183","4,387",2.00,4.76
688089,2020-04-16,36.40,36.50,35.50,35.92,-0.54,-1.48,"13,092","4,708",2.74,5.12
688089,2020-04-15,36.91,37.15,35.96,36.46,-0.46,-1.25,"16,946","6,198",3.22,6.62
688089,2020-04-14,36.54,37.36,36.11,36.92,0.32,0.87,"18,989","7,011",3.42,7.42
688089,2020-04-13,37.25,39.25,36.50,36.60,-1.02,-2.71,"29,954","11,330",7.31,11.71
688089,2020-04-10,36.47,38.25,35.99,37.62,1.16,3.18,"32,596","12,093",6.20,12.74
688089,2020-04-09,36.63,37.26,36.27,36.46,-0.06,-0.16,"16,220","5,970",2.71,6.34
688089,2020-04-08,36.60,38.44,36.30,36.52,-0.81,-2.17,"24,554","9,082",5.73,9.60
688089,2020-04-07,34.30,37.48,34.30,37.33,3.73,11.10,"36,079","13,091",9.46,14.10
688089,2020-04-03,32.79,34.20,32.50,33.60,0.81,2.47,"17,832","5,986",5.18,6.97
688089,2020-04-02,31.61,32.79,31.61,32.79,1.39,4.43,"10,410","3,361",3.76,4.07
688089,2020-04-01,32.20,32.53,31.38,31.40,-0.86,-2.67,"8,862","2,830",3.56,3.46
公司编码,日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
688089,2020-03-31,31.88,32.75,31.68,32.26,0.79,2.51,"10,765","3,472",3.40,4.21
688089,2020-03-30,32.60,32.60,31.12,31.47,-1.36,-4.14,"9,911","3,131",4.51,3.87
688089,2020-03-27,33.80,34.09,32.80,32.83,-0.78,-2.32,"10,022","3,339",3.84,3.92
688089,2020-03-26,33.80,34.46,33.40,33.61,-0.34,-1.00,"10,416","3,527",3.12,4.07
688089,2020-03-25,34.55,34.97,33.78,33.95,0.18,0.53,"14,462","4,969",3.52,5.65
688089,2020-03-24,33.02,33.94,32.63,33.77,1.14,3.49,"15,688","5,203",4.01,6.13
688089,2020-03-23,32.00,33.20,31.66,32.63,0.10,0.31,"16,903","5,529",4.73,6.61
688089,2020-03-20,32.39,32.89,32.02,32.53,0.43,1.34,"9,698","3,150",2.71,3.79
688089,2020-03-19,32.08,32.48,31.46,32.10,0.07,0.22,"10,734","3,431",3.18,4.20
688089,2020-03-18,33.23,33.80,31.90,32.03,-0.92,-2.79,"12,318","4,068",5.77,4.82
688089,2020-03-17,32.86,33.86,31.58,32.95,0.16,0.49,"11,802","3,860",6.95,4.61
688089,2020-03-16,34.68,34.79,32.56,32.79,-1.59,-4.62,"13,878","4,676",6.49,5.43
688089,2020-03-13,32.86,35.00,32.51,34.38,-0.28,-0.81,"16,809","5,705",7.18,6.57
